what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1364410784267
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364410784925
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364413699401
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1364413700440
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1364413701122
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364413702371
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364413702463
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.402.v201009080200,"org.eclipse.jst.j2ee.J2EEPerspective",1364413702626
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1364413702651
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.nextPerspective",1364413702880
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1364413707286
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1364413709436
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1364413709871
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1364413714014
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1364413724723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364413759769
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364413761408
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364413766194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364413786827
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364413793635
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1364413829528
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364413829963
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364413907201
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1364413914846
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364413915362
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364413918729
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1364413928601
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364413929038
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364413995159
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364413996616
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1364414060102
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414060588
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414071748
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1364414073511
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414077230
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414088837
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364414090272
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414091104
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414101598
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414126185
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414127006
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1364414130289
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414130695
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414133133
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1364414149681
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414150078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414152553
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1364414161043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414161443
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414163880
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414498873
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414801959
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414805343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414806732
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1364414806963
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1364414808544
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1364414809953
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1364414810177
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1364414810281
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364414814710
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1364414814711
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1364414827854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364414890144
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364415133443
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364415133900
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364415263760
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364415269167
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364415294141
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364415295683
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364432716214
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364432717841
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364433104666
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364433105411
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364433252460
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364433253287
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364433457469
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364433458091
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364433480807
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364433481456
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364443586442
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364444030143
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364444036445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364444037228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364689516822
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1364689521764
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364689526182
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364689539104
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364689564846
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1364689575076
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1364689575180
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1364689575244
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1364689575427
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1364689575678
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1364689575801
stopped,bundle,oracle.eclipse.tools.glassfish,3.2.3.201106201340,"oracle.eclipse.tools.glassfish",1364689575854
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1364689575974
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1364689575974
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1364689576107
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1364689576433
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1364689576433
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1364689576571
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1364689576718
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1364689576816
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1364689576956
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1364689576969
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1364689577217
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1364689577375
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1364689577540
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1364689577757
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1364689577773
stopped,bundle,org.eclipse.jst.server.ui,1.1.101.v20100823b,"org.eclipse.jst.server.ui",1364689577996
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1364689577996
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1364689577996
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1364689578020
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.3.0.v201004280001,"org.eclipse.jpt.eclipselink.ui",1364689578144
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.3.1.v201007142310,"org.eclipse.jpt.eclipselink.core",1364689578309
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.0.1.v201006300000,"org.eclipse.jpt.jaxb.ui",1364689578417
stopped,bundle,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui",1364689578454
stopped,bundle,org.eclipse.jpt.core,2.3.2.v201008252310,"org.eclipse.jpt.core",1364689578605
stopped,bundle,org.eclipse.jpt.db,1.2.201.v201008242310,"org.eclipse.jpt.db",1364689578730
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v201004070709,"org.eclipse.datatools.enablement.jdt.classpath",1364689578883
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1364689579025
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1364689579118
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1364689579316
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1364689579316
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1364689579426
stopped,bundle,org.eclipse.dltk.javascript.debug.ui,4.0.0.201206062034,"org.eclipse.dltk.javascript.debug.ui",1364689579565
stopped,bundle,org.eclipse.dltk.javascript.jsjdtdebugger,4.0.0.201206062034,"org.eclipse.dltk.javascript.jsjdtdebugger",1364689579713
stopped,bundle,org.eclipse.dltk.javascript.launching,4.0.0.201206062034,"org.eclipse.dltk.javascript.launching",1364689579872
stopped,bundle,org.eclipse.dltk.javascript.debug,4.0.0.201206062034,"org.eclipse.dltk.javascript.debug",1364689579930
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1364689579930
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.300.v201002081900,"org.eclipse.jst.common.annotations.ui",1364689580068
