what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1364336046704
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336049151
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336049901
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336050212
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336067056
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336068737
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336142916
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336143780
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336190916
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336192187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336249016
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336250329
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336272916
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336328847
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336331744
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1364336335510
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336335896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336341053
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1364336345611
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336345953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336349197
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1364336351061
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1364336352966
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1364336353935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336354043
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336394576
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1364336397310
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336398347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336423618
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1364336428075
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336428809
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364336433179
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1364336437594
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1364336451672
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1364336452103
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1364336455007
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1364336481070
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1364336492770
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1364336499301
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1364336502161
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1364336502831
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1364336503199
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1364336503793
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1364336508750
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1364336509828
