what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1364407260672
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1364407261974
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1364407263149
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364407264404
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364407269835
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364407269917
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364407270013
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1364407304796
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364407306033
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364407307323
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364407611640
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1364407611671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364407674224
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364407703167
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364407703920
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364407938500
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364407939100
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1364407940058
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.stop",1364407940122
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364407941123
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1364407941226
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364407944639
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1364407944769
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1364407947703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364407951210
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364407952360
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1364407954128
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1364407955473
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1364407955544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364407958668
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364407961290
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1364407961314
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364408036009
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364408042806
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364408043925
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364408139289
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1364408141140
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.stop",1364408141215
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1364408142364
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1364408146167
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1364408146349
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1364408152566
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1364408152737
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1364408152884
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1364408153025
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1364408153169
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1364408153303
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1364408153421
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1364408153562
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1364408153695
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1364408153833
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1364408153975
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1364408154342
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1364408155014
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364408156196
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364408193193
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364408193969
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364408198179
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1364408202304
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1364408203495
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364408218700
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364408220022
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1364408221732
activated,editor,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.core.jspsource.source",1364408225593
